"","ID_chat","Saison","Annee","akde","Session","Age","Sex","Type_GPS","Outdoor_access","sum.DRR","sum.RR","mean.TM","mean.FXY","Monitoring_time","Outdoor_access2","Saison2","daily.RR","buffer100","buffer250","buffer500","id_owner"
"65","38","hiver","2021",7976.91837154108,1,3,"M","blanc","libre",NA,36.5,4.92727272727273,7.53636363636364,10,"unrestricted","winter",3.65,0.379746835443038,0.65765306122449,0.63230984838833,17
"66","38","printemps","2021",1782.19921953925,1,3,"M","gris","libre",2072,44.9,12.275,8.19166666666667,11,"unrestricted","spring",4.08181818181818,0.379746835443038,0.65765306122449,0.63230984838833,17
"67","38","automne","2020",1556.20110781185,1,3,"M","blanc","libre",NA,18.8,10.3,6.9625,7,"unrestricted","fall",2.68571428571429,0.379746835443038,0.65765306122449,0.63230984838833,17
"68","38","automne","2021",1349.84807228576,1,4,"M","gris","libre",1572,24.9,9.93333333333333,7.6,8,"unrestricted","fall",3.1125,0.379746835443038,0.65765306122449,0.63230984838833,17
"69","39","automne","2020",3748.1932834674,1,6,"M","blanc","libre",NA,18.8,10.9333333333333,6.91111111111111,8,"unrestricted","fall",2.35,0.457413249211356,0.556176919166243,0.497899427116486,18
"70","40","ete","2021",1830.68924804585,1,10,"F","gris","demande",NA,9.4,18.4090909090909,5.79090909090909,10,"restricted","summer",0.94,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"71","40","hiver","2021",1473.98886404888,1,10,"F","gris","demande",NA,9.8,2.58461538461538,7.75384615384615,12,"restricted","winter",0.816666666666667,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"72","40","printemps","2021",1706.92198961308,1,10,"F","gris","demande",1231,20.6,13.325,8.65,7,"restricted","spring",2.94285714285714,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"73","40","automne","2020",1416.86454986636,1,9,"F","gris","demande",NA,18.8,10.9333333333333,6.91111111111111,8,"restricted","fall",2.35,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"74","41","automne","2020",1584.54735713415,1,8,"F","gris","demande",NA,18.8,10.9333333333333,6.91111111111111,8,"restricted","fall",2.35,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"75","41","ete","2021",1346.551435538,1,9,"F","gris","demande",NA,9.4,18.4090909090909,5.79090909090909,10,"restricted","summer",0.94,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"76","41","hiver","2021",1237.49680693148,1,8,"F","gris","demande",NA,9.8,1.75833333333333,7.75833333333333,11,"restricted","winter",0.890909090909091,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"77","41","printemps","2021",1074.99602521981,1,8,"F","gris","demande",1231,20.6,13.325,8.65,7,"restricted","spring",2.94285714285714,0.0221518987341772,0.0953109072375127,0.473315501210037,44
"78","43","ete","2021",1422.08765235279,1,7,"M","gris","demandeJour",817,26.8,20.825,6.425,7,"restricted","summer",3.82857142857143,1,0.386850152905199,0.652832590706556,19
"79","43","hiver","2021",1255.98281306867,1,7,"M","gris","demandeJour",NA,56.9,6.20769230769231,8.75384615384615,12,"restricted","winter",4.74166666666667,1,0.386850152905199,0.652832590706556,19
"80","43","printemps","2021",1252.02989241374,1,7,"M","gris","demandeJour",199,1.6,11.29,6.76,9,"restricted","spring",0.177777777777778,1,0.386850152905199,0.652832590706556,19
"81","43","automne","2021",1467.61065284378,1,8,"M","gris","libreJour",306,1,7.74,5.32,4,"restricted","fall",0.25,1,0.386850152905199,0.652832590706556,19
"82","43","automne","2020",1685.03444198611,1,6,"M","gris","demandeJour",NA,18.8,10.9333333333333,6.91111111111111,8,"restricted","fall",2.35,1,0.386850152905199,0.652832590706556,19
"83","45","ete","2021",2763.62032908541,1,5,"F","gris","demande",568,9.4,18.325,6.4,7,"restricted","summer",1.34285714285714,0.451923076923077,0.487519103413143,0.718638449770525,20
"84","45","hiver","2021",1348.83266677437,1,4,"F","gris","demande",NA,56.9,6.20769230769231,8.75384615384615,12,"restricted","winter",4.74166666666667,0.451923076923077,0.487519103413143,0.718638449770525,20
"85","45","printemps","2021",2378.83703973951,1,4,"F","gris","demande",199,1.6,11.29,6.76,9,"restricted","spring",0.177777777777778,0.451923076923077,0.487519103413143,0.718638449770525,20
"86","45","automne","2021",1444.41785949914,1,5,"F","gris","demande",313,1,6.6875,4.925,7,"restricted","fall",0.142857142857143,0.451923076923077,0.487519103413143,0.718638449770525,20
"87","45","automne","2020",1937.35419274408,1,4,"F","gris","demande",NA,7.4,11.0916666666667,6.7,11,"restricted","fall",0.672727272727273,0.451923076923077,0.487519103413143,0.718638449770525,20
